base_symbol,base_isin,oisin,k,T,n-min,lot-size,side,trade-limit,limit-interest,limit-leverage,c-amount
وتجارت,IRO1BTEJ0001,IRO9BTEJ4431,1300,2023-05-10,161,1,buy,5,0.39,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4431,1300,2023-05-10,161,1,sell,5,1.0,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4481,1800,2023-05-10,357,1,buy,5,1.1,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4481,1800,2023-05-10,357,1,sell,5,3.0,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4501,2000,2023-05-10,535,1,buy,5,1.1,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4501,2000,2023-05-10,535,1,sell,5,3.0,10000000,1
فملی,IRO1MSMI0001,IRO9MSMI6601,6000,2023-09-27,25,1,buy,5,0.41,0,1
فملی,IRO1MSMI0001,IRO9MSMI6601,6000,2023-09-27,25,1,sell,5,1.1,10000000,1
شتران,IRO1PTEH0001,IRO9PTEH6631,3500,2023-06-18,69,1,buy,5,0.41,0,1
شتران,IRO1PTEH0001,IRO9PTEH6631,3500,2023-06-18,69,1,sell,5,1.1,10000000,1
سرو,IRT1SARV0001,IRO9SARV8231,74000,2023-12-27,2,1,buy,5,0.34,0,1
سرو,IRT1SARV0001,IRO9SARV8231,74000,2023-12-27,2,1,sell,5,0.75,10000000,1
سرو,IRT1SARV0001,IRO9SARV8251,90000,2023-12-27,3,1,buy,5,0.65,0,1
سرو,IRT1SARV0001,IRO9SARV8251,90000,2023-12-27,3,1,sell,5,1.5,10000000,1
خساپا,IRO1SIPA0001,IRO9SIPA6181,2200,2023-06-14,193,1,buy,5,0.9,0,1
خساپا,IRO1SIPA0001,IRO9SIPA6181,2200,2023-06-14,193,1,sell,5,2.3,10000000,1
خاور,IRO7IKDP0001,IROAIKDP2301,3900,2023-04-05,323,1,buy,5,0.7,0,1
خاور,IRO7IKDP0001,IROAIKDP2301,3900,2023-04-05,323,1,sell,5,2.0,10000000,1
خاور,IRO7IKDP0001,IROAIKDP2311,4100,2023-04-05,333,1,buy,5,0.7,0,1
خاور,IRO7IKDP0001,IROAIKDP2311,4100,2023-04-05,333,1,sell,5,2.0,10000000,1
فملی,IRO1MSMI0001,IRO9MSMI6571,4500,2023-09-27,14,1,buy,5,0.26,0,1
فملی,IRO1MSMI0001,IRO9MSMI6571,4500,2023-09-27,14,1,sell,5,0.56,10000000,1
خساپا,IRO1SIPA0001,IRO9SIPA6201,2600,2023-06-14,299,1,buy,5,1.3,0,1
خساپا,IRO1SIPA0001,IRO9SIPA6201,2600,2023-06-14,299,1,sell,5,3.5,10000000,1
شتران,IRO1PTEH0001,IRO9PTEH6641,3750,2023-06-18,85,1,buy,5,0.65,0,1
شتران,IRO1PTEH0001,IRO9PTEH6641,3750,2023-06-18,85,1,sell,5,1.5,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4491,1900,2023-05-10,476,1,buy,5,1.1,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4491,1900,2023-05-10,476,1,sell,5,3.0,10000000,1
فملی,IRO1MSMI0001,IRO9MSMI6641,8000,2023-09-27,14,1,buy,5,0.26,0,1
فملی,IRO1MSMI0001,IRO9MSMI6641,8000,2023-09-27,14,1,sell,5,0.56,10000000,1
