base_symbol,base_isin,oisin,k,T,n-min,lot-size,side,trade-limit,limit-interest,limit-leverage,c-amount
شستا,IRO1TAMN0001,IRO9TAMN2551,865,2023-08-30,210,1,buy,5,0.41,0,1
شستا,IRO1TAMN0001,IRO9TAMN2551,865,2023-08-30,210,1,sell,5,1.1,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2531,665,2023-08-30,168,1,buy,5,0.34,0,1
شستا,IRO1TAMN0001,IRO9TAMN2531,665,2023-08-30,168,1,sell,5,0.75,10000000,1
اهرم,IRT1AHRM0001,IRO9AHRM6341,13000,2023-10-15,12,1,buy,5,0.34,0,1
اهرم,IRT1AHRM0001,IRO9AHRM6341,13000,2023-10-15,12,1,sell,5,0.75,10000000,1
فولاد,IRO1FOLD0001,IRO9FOLD6821,3250,2023-10-18,15,1,buy,5,0.26,0,1
فولاد,IRO1FOLD0001,IRO9FOLD6821,3250,2023-10-18,15,1,sell,5,0.56,10000000,1
خودرو,IRO1IKCO0001,IRO9IKCO8931,2600,2023-05-24,102,1,buy,5,0.6,0,1
خودرو,IRO1IKCO0001,IRO9IKCO8931,2600,2023-05-24,102,1,sell,5,1.4,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2571,1065,2023-08-30,285,1,buy,5,0.65,0,1
شستا,IRO1TAMN0001,IRO9TAMN2571,1065,2023-08-30,285,1,sell,5,1.5,10000000,1
دی,IRO3BDYZ0001,IROABDYZ2021,550,2023-05-07,301,1,buy,5,0.39,0,1
دی,IRO3BDYZ0001,IROABDYZ2021,550,2023-05-07,301,1,sell,5,1.0,10000000,1
فولاد,IRO1FOLD0001,IRO9FOLD6871,5000,2023-10-18,21,1,buy,5,0.34,0,1
فولاد,IRO1FOLD0001,IRO9FOLD6871,5000,2023-10-18,21,1,sell,5,0.75,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4451,1500,2023-05-10,209,1,buy,5,0.6,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4451,1500,2023-05-10,209,1,sell,5,1.4,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4441,1400,2023-05-10,189,1,buy,5,0.6,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4441,1400,2023-05-10,189,1,sell,5,1.4,10000000,1
خودرو,IRO1IKCO0001,IRO9IKCO8941,2800,2023-05-24,141,1,buy,5,0.8,0,1
خودرو,IRO1IKCO0001,IRO9IKCO8941,2800,2023-05-24,141,1,sell,5,2.1,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2561,965,2023-08-30,242,1,buy,5,0.41,0,1
شستا,IRO1TAMN0001,IRO9TAMN2561,965,2023-08-30,242,1,sell,5,1.1,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2521,565,2023-08-30,149,1,buy,5,0.34,0,1
شستا,IRO1TAMN0001,IRO9TAMN2521,565,2023-08-30,149,1,sell,5,0.75,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2541,765,2023-08-30,238,1,buy,5,0.41,0,1
شستا,IRO1TAMN0001,IRO9TAMN2541,765,2023-08-30,238,1,sell,5,1.1,10000000,1
دی,IRO3BDYZ0001,IROABDYZ2031,600,2023-05-07,351,1,buy,5,0.39,0,1
دی,IRO3BDYZ0001,IROABDYZ2031,600,2023-05-07,351,1,sell,5,1.0,10000000,1
دی,IRO3BDYZ0001,IROABDYZ2071,800,2023-05-07,617,1,buy,5,0.8,0,1
دی,IRO3BDYZ0001,IROABDYZ2071,800,2023-05-07,617,1,sell,5,2.1,10000000,1
سلام,IRT1FASA0001,IRO9FASA4251,9000,2023-10-11,19,1,buy,5,0.41,0,1
سلام,IRT1FASA0001,IRO9FASA4251,9000,2023-10-11,19,1,sell,5,1.1,10000000,1
سلام,IRT1FASA0001,IRO9FASA4271,11000,2023-10-11,26,1,buy,5,0.65,0,1
سلام,IRT1FASA0001,IRO9FASA4271,11000,2023-10-11,26,1,sell,5,1.5,10000000,1
فولاد,IRO1FOLD0001,IRO9FOLD6881,5500,2023-10-18,26,1,buy,5,0.34,0,1
فولاد,IRO1FOLD0001,IRO9FOLD6881,5500,2023-10-18,26,1,sell,5,0.75,10000000,1
اهرم,IRT1AHRM0001,IRO9AHRM6351,14000,2023-10-15,13,1,buy,5,0.34,0,1
اهرم,IRT1AHRM0001,IRO9AHRM6351,14000,2023-10-15,13,1,sell,5,0.75,10000000,1
فملی,IRO1MSMI0001,IRO9MSMI6621,7000,2023-09-27,19,1,buy,5,0.34,0,1
فملی,IRO1MSMI0001,IRO9MSMI6621,7000,2023-09-27,19,1,sell,5,0.75,10000000,1
خودرو,IRO1IKCO0001,IRO9IKCO8951,3000,2023-05-24,136,1,buy,5,0.8,0,1
خودرو,IRO1IKCO0001,IRO9IKCO8951,3000,2023-05-24,136,1,sell,5,2.1,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2611,1465,2023-08-30,610,1,buy,5,1.3,0,1
شستا,IRO1TAMN0001,IRO9TAMN2611,1465,2023-08-30,610,1,sell,5,3.5,10000000,1
