base_symbol,base_isin,oisin,k,T,n-min,lot-size,side,trade-limit,limit-interest,limit-leverage,c-amount
شستا,IRO1TAMN0001,IRO9TAMN2551,865,2023-08-30,210,1,sell,5,0.89,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2531,665,2023-08-30,168,1,buy,5,0.46,0,1
اهرم,IRT1AHRM0001,IRO9AHRM6341,13000,2023-10-15,12,1,sell,5,0.63,10000000,1
فولاد,IRO1FOLD0001,IRO9FOLD6821,3250,2023-10-18,15,1,buy,5,0.35,0,1
خودرو,IRO1IKCO0001,IRO9IKCO8931,2600,2023-05-24,102,1,buy,5,0.84,0,1
شستا,IRO1TAMN0001,IRO9TAMN2571,1065,2023-08-30,285,1,sell,5,1.25,10000000,1
دی,IRO3BDYZ0001,IROABDYZ2021,550,2023-05-07,301,1,buy,5,0.57,0,1
فولاد,IRO1FOLD0001,IRO9FOLD6871,5000,2023-10-18,21,1,sell,5,0.63,10000000,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4451,1500,2023-05-10,209,1,buy,5,0.84,0,1
وتجارت,IRO1BTEJ0001,IRO9BTEJ4441,1400,2023-05-10,189,1,buy,5,0.84,0,1
خودرو,IRO1IKCO0001,IRO9IKCO8941,2800,2023-05-24,141,1,sell,5,1.71,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2561,965,2023-08-30,242,1,sell,5,0.89,10000000,1
شستا,IRO1TAMN0001,IRO9TAMN2521,565,2023-08-30,149,1,buy,5,0.46,0,1
شستا,IRO1TAMN0001,IRO9TAMN2541,765,2023-08-30,238,1,sell,5,0.89,10000000,1
دی,IRO3BDYZ0001,IROABDYZ2031,600,2023-05-07,351,1,buy,5,0.57,0,1
دی,IRO3BDYZ0001,IROABDYZ2071,800,2023-05-07,617,1,sell,5,1.71,10000000,1
سلام,IRT1FASA0001,IRO9FASA4251,9000,2023-10-11,19,1,buy,5,0.62,0,1
سلام,IRT1FASA0001,IRO9FASA4271,11000,2023-10-11,26,1,sell,5,1.25,10000000,1
فولاد,IRO1FOLD0001,IRO9FOLD6881,5500,2023-10-18,26,1,sell,5,0.63,10000000,1
اهرم,IRT1AHRM0001,IRO9AHRM6351,14000,2023-10-15,13,1,sell,5,0.63,10000000,1
فملی,IRO1MSMI0001,IRO9MSMI6621,7000,2023-09-27,19,1,sell,5,0.63,10000000,1
خودرو,IRO1IKCO0001,IRO9IKCO8951,3000,2023-05-24,136,1,buy,5,1.19,0,1
شستا,IRO1TAMN0001,IRO9TAMN2611,1465,2023-08-30,610,1,sell,5,2.84,10000000,1
